,pred_list,terms,count
47,"0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BS,[B,subnn,[B,I,I]],[BK,[addnn,2],getStripe]]",27
48,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6","[BB,[mulnn,2],[CK,[B,subnn,getStripe],1]]",14
49,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","[BB,[mulnn,3],[CK,[B,subnn,getStripe],1]]",4
50,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12","[BB,[mulnn,4],[CK,[B,subnn,getStripe],1]]",4
51,"0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,5,5,5,5,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,5,5,5,5,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,5,5,5,5,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,5,5,5,5,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,5,5,5,5","[CC,[BB,subnn,[SK,[K,mulnn,2],getDot]],3]",49
52,"0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[SB,[B,subnn,getDot],[CB,[B,mulnn,getStripe],[B,I,I]]]",14
53,"0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[SB,[B,subnn,getDot],[BK,[addnn,2],getStripe]]",26
54,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BB,[subnn,3],[CB,[B,mulnn,getStripe],[B,I,I]]]",54
55,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BB,[subnn,4],[CB,[B,mulnn,getStripe],[B,I,I]]]",52
56,"0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5","[SS,[KB,subnn,[B,I,I]],[BK,[subnn,3],getStripe]]",2
57,"9,9,9,9,4,4,4,4,1,1,1,1,0,0,0,0,1,1,1,1,9,9,9,9,4,4,4,4,1,1,1,1,0,0,0,0,1,1,1,1,9,9,9,9,4,4,4,4,1,1,1,1,0,0,0,0,1,1,1,1,9,9,9,9,4,4,4,4,1,1,1,1,0,0,0,0,1,1,1,1,9,9,9,9,4,4,4,4,1,1,1,1,0,0,0,0,1,1,1,1","[SS,[BB,mulnn,[BK,[subnn,3],getDot]],[BK,[subnn,3],getDot]]",28
58,"9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","[SS,[BB,mulnn,[BK,[subnn,3],getDot]],[BK,[subnn,3],getStripe]]",4
